avibase_id,AM,AMR,E,IO,MM,N,NR,OM,PM,PMR,RS,SO,VIO,VM,VN,VO,VP,VSO,VSA,ES
avibase-99B8841E,,,,,,,,,,,,,,,,,TRUE,,
avibase-46DECAEE,,,,,,,,,,,,,,,,,,,
avibase-6EF64F69,,,,,,,,,,,,,,,,,,,
avibase-E75BA92C,,,,,,,,,,,,,,,,,,,
avibase-10B56544,,,,,,,,,,,,,,,,,,,
avibase-EBA9F2C4,TRUE,,,,,,,,,,,,,,,,,,
avibase-D4A066EA,,,,,,,,,,,,,,,,,,,
avibase-5B443EDE,,,,,,,,,,,,,,,,,,,
avibase-09A0F2EB,,TRUE,,,,,,,,,,,,,,,,,
avibase-7E257242,,,,,,,,,TRUE,,,,,,,,,,
avibase-460708F9,,,,,,,,,TRUE,,,,,,,,,,
avibase-A927C1AE,TRUE,,,,,,,,,,,,,,,,,,
avibase-8F82FF8C,,,,,,,,,,,,,,,,,,,
avibase-53235FDC,,TRUE,,,,,,,,,,,,,,,,,
avibase-53288666,,TRUE,,,,,,,,,,,,,,,,,
avibase-AC1E791E,,,,,,,,,,,,,,,,,,,
avibase-13967506,TRUE,,,,,,,,,,,,,,,,,,
avibase-148F0B01,,,,,,,,,,,,,,,,,,,
avibase-34D5B04D,,TRUE,,,,,,,,TRUE,,,,,,,,,
avibase-862F6F04,,,,,,,,,,,,,,,,,,,
avibase-96CCAFEE,,,,,,,,,,,,,,,,,,,
avibase-85DF723B,,,,,,,,,,,,,,,,,,,
avibase-C7DB323E,,,,,,,,,TRUE,,,,,,,,,,
avibase-1B28A4B6,,,,,,,,,,,,,,,,,,,
avibase-C73ED2F5,,TRUE,,,,,,,,TRUE,,,,,,,,,
avibase-3CAEB7CE,,TRUE,,,,,,,,TRUE,,,,,,,,,
avibase-ED663165,,,,,,,,,TRUE,,,,,,,,,,
avibase-27903EF7,,,,,,,,,TRUE,,,,,,,,,,
avibase-07C11CF3,,,,,,,,,TRUE,,,,,,,,,,
avibase-EDA37B7C,,,,,,,,,TRUE,,,,,,,,,,
avibase-8DAF86A1,,,,,,,,,,,,,,,,,,,
avibase-35EC3BBF,,,,,,,,,TRUE,,,,,,,,,,
avibase-F029489A,,,,,,,,,,,,,,,,,TRUE,,
avibase-F7D5320E,,,,,,,,,,,,,,,,,,,
avibase-2F23EDC6,,,,,,,,,,,,,,,,,,,
avibase-F5E92B22,,,,,,,,,,,,,,,,,,,
avibase-D531B5D3,,,,,,,,,,,,,,,,,,,
avibase-42D3918F,,,,,,,,,,,,,,,,,,,
avibase-83D95620,,,,,,,,,,,,,,,,,,,
avibase-D0FA8EBE,,,,,,,,,,,,,,,,,,,
avibase-074251A3,,,,,,,,,,,,,,,,,,,
avibase-881C954D,,,,,,,,,,,,,,,,,,,
avibase-264D0351,,,,,,,,,TRUE,,,,,,,,,,
avibase-828D3D5A,,,,,,,,,TRUE,,,,,,,,,,
avibase-98B9C10B,,,,,,,,,TRUE,,,,,,,,,,
avibase-0F0DCC2F,,TRUE,,,,,,,,,,,,,,,,,
avibase-61F0E581,,,,,,,,,,,,,,,,,,,
avibase-214B3533,,,,,,,,,,,,,,,,,,,
avibase-AA4385A2,,,,,,,,,TRUE,,,,,,,,,,
avibase-7516E687,,,,,,,,,,,,,,,,,,,
avibase-29B03FAE,,,,,,,,,,,,,,,,,,,
