group_id,relationship,mapping_basis,old_avilist_id,old_english_name,old_scientific_name,new_avilist_id,new_english_name,new_scientific_name
stable-avibase-724266B4,name_change,stable_avilist_id,avibase-724266B4,Brown-breasted Barbet,Pogornornis melanopterus,avibase-724266B4,Brown-breasted Barbet,Pogonornis melanopterus
stable-avibase-73BD4B29,name_change,stable_avilist_id,avibase-73BD4B29,Irania,Irania gutturalis,avibase-73BD4B29,White-throated Robin,Irania gutturalis
stable-avibase-7451A628,name_change,stable_avilist_id,avibase-7451A628,Eurasian Roller,Coracias garrulus,avibase-7451A628,European Roller,Coracias garrulus
stable-avibase-7471E71D,name_change,stable_avilist_id,avibase-7471E71D,Red-billed Oxpecker,Buphagus erythrorhynchus,avibase-7471E71D,Red-billed Oxpecker,Buphagus erythroryncha
stable-avibase-76B512B1,name_change,stable_avilist_id,avibase-76B512B1,Rüppell’s Vulture,Gyps rueppellii ,avibase-76B512B1,Rüppell's Vulture,Gyps rueppelli
stable-avibase-76FAC9A5,name_change,stable_avilist_id,avibase-76FAC9A5,Violet Wood-Hoopoe,Phoeniculus damarensis,avibase-76FAC9A5,Violet Wood Hoopoe,Phoeniculus damarensis
stable-avibase-77D82F60,name_change,stable_avilist_id,avibase-77D82F60,Bearded Woodpecker,Chloropicos namaquus,avibase-77D82F60,Bearded Woodpecker,Chloropicus namaquus
stable-avibase-79A45DAF,name_change,stable_avilist_id,avibase-79A45DAF,Sombre (Zanzibar) Greenbul ,Andropadus importunus,avibase-79A45DAF,Sombre Greenbul,Andropadus importunus
stable-avibase-7AAD57AC,name_change,stable_avilist_id,avibase-7AAD57AC,Little Bittern,Ixobrychus minutus,avibase-7AAD57AC,Little Bittern,Botaurus minutus
stable-avibase-7CB8F5B7,name_change,stable_avilist_id,avibase-7CB8F5B7,Pomarine Skua,Stercorarius pomarinus,avibase-7CB8F5B7,Pomarine Jaeger,Stercorarius pomarinus
stable-avibase-7D340BF9,name_change,stable_avilist_id,avibase-7D340BF9,Turner’s Eremomela,Eremomela turneri (race turneri),avibase-7D340BF9,Turner's Eremomela,Eremomela turneri
stable-avibase-7D6F12FE,name_change,stable_avilist_id,avibase-7D6F12FE,Grey-headed Silverbill,Odontospiza griseicapilla,avibase-7D6F12FE,Grey-headed Silverbill,Spermestes griseicapilla
stable-avibase-7DC78D7A,name_change,stable_avilist_id,avibase-7DC78D7A,Jameson's Wattle-eye,Dyaphorophyia jamesoni,avibase-7DC78D7A,Jameson's Wattle-eye,Platysteira jamesoni
stable-avibase-7DCA1C1E,name_change,stable_avilist_id,avibase-7DCA1C1E,Marsh Tchagra,Bocagia minuta (race reichenowi),avibase-7DCA1C1E,Marsh Tchagra,Bocagia minuta
stable-avibase-7DF00403,name_change,stable_avilist_id,avibase-7DF00403,Ayres’s Hawk Eagle,Hieraaetus ayresii,avibase-7DF00403,Ayres's Hawk-Eagle,Hieraaetus ayresii
stable-avibase-7E257242,name_change,stable_avilist_id,avibase-7E257242,Corncrake,Crex crex,avibase-7E257242,Corn Crake,Crex crex
stable-avibase-8004C7E5,name_change,stable_avilist_id,avibase-8004C7E5,Crested Francolin,Dendroperdix sephaena,avibase-8004C7E5,Crested Francolin,Ortygornis sephaena
stable-avibase-80D4B0FE,name_change,stable_avilist_id,avibase-80D4B0FE,Eurasian Nightjar,Caprimulgus europaeus,avibase-80D4B0FE,European Nightjar,Caprimulgus europaeus
stable-avibase-81474844,name_change,stable_avilist_id,avibase-81474844,Chestnut-naped Francolin,Pternistis castaneicollis (race atrifrons),avibase-81474844,Chestnut-naped Spurfowl,Pternistis castaneicollis
stable-avibase-819AB823,name_change,stable_avilist_id,avibase-819AB823,Great (Black) Sparrowhawk,Accipiter melanoleucus,avibase-819AB823,Black Sparrowhawk,Astur melanoleucus
stable-avibase-81DB7410,name_change,stable_avilist_id,avibase-81DB7410,Lammergeier,Gypaetus barbatus,avibase-81DB7410,Bearded Vulture,Gypaetus barbatus
stable-avibase-83D95620,name_change,stable_avilist_id,avibase-83D95620,Black-winged Plover,Vanellus melanopterus,avibase-83D95620,Black-winged Lapwing,Vanellus melanopterus
stable-avibase-84249EE3,name_change,stable_avilist_id,avibase-84249EE3,Sharpe’s Square-tailed Drongo,Dicrurus sharpei,avibase-84249EE3,Sharpe's Drongo,Dicrurus sharpei
stable-avibase-842FF43C,name_change,stable_avilist_id,avibase-842FF43C,Black-faced Waxbill,Estrilda erythronotos,avibase-842FF43C,Black-faced Waxbill,Brunhilda erythronotos
stable-avibase-8492E4B7,name_change,stable_avilist_id,avibase-8492E4B7,Levant Sparrowhawk,Accipiter brevipes,avibase-8492E4B7,Levant Sparrowhawk,Tachyspiza brevipes
stable-avibase-866D07A0,name_change,stable_avilist_id,avibase-866D07A0,Northern White-crowned Shrike,Eurocephalus rueppelli,avibase-866D07A0,Northern White-crowned Shrike,Eurocephalus ruppelli
stable-avibase-87EEBD3E,name_change,stable_avilist_id,avibase-87EEBD3E,Dwarf Bittern,Ixobrychus sturmii,avibase-87EEBD3E,Dwarf Bittern,Botaurus sturmii
stable-avibase-881C954D,name_change,stable_avilist_id,avibase-881C954D,Brown-chested Plover,Vanellus superciliosus,avibase-881C954D,Brown-chested Lapwing,Vanellus superciliosus
stable-avibase-8B7A6FE9,name_change,stable_avilist_id,avibase-8B7A6FE9,Brown-chested Alethe,Chaemaetylas poliocephala (race akeleyae),avibase-8B7A6FE9,Brown-chested Alethe,Chamaetylas poliocephala
stable-avibase-8DAF86A1,name_change,stable_avilist_id,avibase-8DAF86A1,Three-banded Plover,Charadrius tricollaris,avibase-8DAF86A1,Three-banded Plover,Thinornis tricollaris
stable-avibase-8DB3F1A2,name_change,stable_avilist_id,avibase-8DB3F1A2,Wahlberg's Honeybird,Prodotiscus regulus,avibase-8DB3F1A2,Brown-backed Honeybird,Prodotiscus regulus
stable-avibase-8E5252EB,name_change,stable_avilist_id,avibase-8E5252EB,African Quailfinch,Ortygospiza atricollis,avibase-8E5252EB,Quailfinch,Ortygospiza atricollis
