IOC_sort,2019#,ADU,Rank,Scientific Name,Common Name,Status Birdlife,2019 IUCN Red List category,AM,AMR,E,EX,HIST,IO,MM,N,NR,NRR,OM,PM,PMR,RAR,RS,SO,VIO,VM,VN,VO,VP,VSO,VSA,Order,Family,Clements--Sort,Clements--code,Clements--Scientific Name,Clements--Common Name,Clements--Family,H&M--Scientific Name,H&M--Common Name,H&M--sort_key,HBW-BL--Scientific Name,HBW-BL--Common Name,HBW-BL--Note,HBW-BL--SISRecID,IOC--Code,IOC--Note,96#,2009#,IOC--Breeding Range,IOC--Nonbreeding Range,Clements--range,H&M--range,Note 2019,Note 2009
5999,,,Subspecies,Tringa totanus eurhina,Common Redshank,,,,,,,,,,,,,,,,,,,,,,,,,,charadriiformes, Scolopacidae,5997,,Tringa totanus eurhina,,Shorebirds,Tringa totanus eurhina,Common Redshank,065-007-003-010-006,,,,,,,,,"Tajikistan, n India, Tibet",India to the Malay Pen.,Pamir Mountains to n India and Tibet; winters in India,"Pamir Mts., C and S Xizang, N India >> S and SE Asia ",,
6000,225,262,Species,Tringa stagnatilis,Marsh Sandpiper,,Least Concern,,,,,,,,,,,,TRUE,,,,,,,,,,,,charadriiformes, Scolopacidae,5989,marsan,Tringa stagnatilis,Marsh Sandpiper,Shorebirds,Tringa stagnatilis,Marsh Sandpiper,065-007-003-012,Tringa stagnatilis,Marsh Sandpiper,,22693216,,,310,267,EU : e Europe to e Siberia and ne China,"AF, OR, AU","Palearctic; winters to s Africa, s Asia and Australasia","E Europe to Russian Far East, NE China >> Africa, S Europe, S Japan, SW and S Asia, SE China, SE Asia, New Guinea, Australia",,
6001,228,264,Species,Tringa glareola,Wood Sandpiper,,Least Concern,,,,,,,,,,,,TRUE,,,,,,,,,,,,charadriiformes, Scolopacidae,5990,woosan,Tringa glareola,Wood Sandpiper,Shorebirds,Tringa glareola,Wood Sandpiper,065-007-003-011,Tringa glareola,Wood Sandpiper,,22693247,,,313,270,EU : n and c Europe to e Siberia and ne China,"AF, OR, AU","Breeds n Eurasia; winters to s Africa, s Asia and Australia","N Europe to E Siberia and NE China >> Africa, SW and S Asia, SE China, SE Asia, New Guinea, Australia",,
6002,223,260,Species,Tringa erythropus,Spotted Redshank,,Least Concern,,,,,,,,,,,,TRUE,,,,,,,,,,,,charadriiformes, Scolopacidae,5979,spored,Tringa erythropus,Spotted Redshank,Shorebirds,Tringa erythropus,Spotted Redshank,065-007-003-007,Tringa erythropus,Spotted Redshank,,22693207,,,308,265,EU : n Europe to ne Siberia,"sw EU, AF, OR",Breeds n Eurasia; winters Mediterranean region to SE Asia,"N Europe to NE Siberia >> Africa, S Europe, SW and S Asia, S China, mainland SE Asia, N Borneo",,
6003,226,263,Species,Tringa nebularia,Common Greenshank,,Least Concern,,,,,,,,,,,,TRUE,,,,,,,,,,,,charadriiformes, Scolopacidae,5981,comgre,Tringa nebularia,Common Greenshank,Shorebirds,Tringa nebularia,Common Greenshank,065-007-003-008,Tringa nebularia,Common Greenshank,,22693220,,,311,268,EU : n Europe to e Siberia,"sw EU, AF, OR, AU","Palearctic; winters to s Africa, s Asia, Philippines and Australia","N Europe to E Siberia >> Madagascar, Africa, Europe, S Japan, SW and S Asia,  S China, SE Asia, New Guinea and Australia",,
6009,234,273,Species,Dromas ardeola,Crab-plover,,Least Concern,TRUE,,,,,,,,,,,,,,,,,,,,,,,charadriiformes, Dromadidae,6067,craplo1,Dromas ardeola,Crab-Plover,Shorebirds,Dromas ardeola,Crab-plover,067-001-001-001,Dromas ardeola,Crab-plover,,22694081,,,,,"AF, IO : Madagascar to Andaman Islands","e AF, India",Coastal n Indian Ocean; ranges to Madagascar and Andaman Is.,"Red Sea and Indian Ocean coasts and islands to Sri Lanka, Andamans >> E Africa, Madagascar, SW and S Asia, W mainland SE Asia ",,AM
6013,235,2024,Species,Cursorius cursor,Cream-colored Courser,Rare/Accidental,Least Concern,,,,,,,,,,TRUE,,,,TRUE,,,,,,,TRUE,,,charadriiformes, Glareolidae,6068,crccou1,Cursorius cursor,Cream-colored Courser,Shorebirds,Cursorius cursor,Cream-coloured Courser,068-002-001-001,Cursorius cursor,Cream-coloured Courser,,22735845,,,256,290,"AF : ne, c, w, also sw EU",,,,,
6014,,,Subspecies,Cursorius cursor cursor,Cream-colored Courser,,,,,,,,,,,,,,,,,,,,,,,,,,charadriiformes, Glareolidae,6070,,Cursorius cursor cursor,,Shorebirds,Cursorius cursor cursor,Cream-coloured Courser,068-002-001-001-001,,,,,,,,,"Canary Is., North Africa to Iraq",,"Canary Islands, North Africa, Arabian Pen. and Socotra I.",Canary Is. and Sahara to Arabian Pen. and Iraq,,
6015,,,Subspecies,Cursorius cursor bogolubovi,Cream-colored Courser,,,,,,,,,,,,,,,,,,,,,,,,,,charadriiformes, Glareolidae,6069,,Cursorius cursor bogolubovi,,Shorebirds,Cursorius cursor bogolubovi,Cream-coloured Courser,068-002-001-001-002,,,,,,,,,se Turkey to nw India,,"SE Turkey to Iran, Afghanistan, s Pakistan and nw India",SE Turkey to NW India,,
6016,,,Subspecies,Cursorius cursor exsul,Cream-colored Courser,,,,,,,,,,,,,,,,,,,,,,,,,,charadriiformes, Glareolidae,6071,,Cursorius cursor exsul,,Shorebirds,Cursorius cursor exsul,Cream-coloured Courser,068-002-001-001-003,,,,,,,,,Cape Verde Is.,,Cape Verde Islands,Cape Verde Is.,,
6017,236,2026,Species,Cursorius somalensis,Somali Courser,,Least Concern,,,,,,,,,,,,,,,,,,,,,,,,charadriiformes, Glareolidae,6072,somcou1,Cursorius somalensis,Somali Courser,Shorebirds,Cursorius somalensis,Somali Courser,068-002-001-002,Cursorius somalensis,Somali Courser,,22732297,,,257,291,AF : ne,,,,,
6018,,,Subspecies,Cursorius somalensis somalensis,Somali Courser,,,,,,,,,,,,,,,,,,,,,,,,,,charadriiformes, Glareolidae,6073,,Cursorius somalensis somalensis,,Shorebirds,Cursorius somalensis somalensis,Somali Courser,068-002-001-002-001,,,,,,,,,"Eritrea, e Ethiopia, n Somalia",,Eritrea to Ethiopia and Somalia,"Eritrea, E Ethiopia, N Somalia",,
6019,,,Subspecies,Cursorius somalensis littoralis,Somali Courser,,,,,,,,,,,,,,,,,,,,,,,,,,charadriiformes, Glareolidae,6074,,Cursorius somalensis littoralis,,Shorebirds,Cursorius somalensis littoralis,Somali Courser,068-002-001-002-002,,,,,,,,,"se Sudan, n and e Kenya, s Somalia",,"extreme southeastern South Sudan, northern Kenya, and southern Somalia","S Somalia, N and E Kenya, E South Sudan",,
6021,237,277,Species,Cursorius temminckii,Temminck's Courser,,Least Concern,,,,,,,,,,,,,,,,,,,,,,,,charadriiformes, Glareolidae,6076,temcou1,Cursorius temminckii,Temminck's Courser,Shorebirds,Cursorius temminckii,Temminck's Courser,068-002-001-004,Cursorius temminckii,Temminck's Courser,,22694120,,,258,292,AF : widespread south of the Sahara,,Savanna of sub-Saharan Africa to n South Africa,Sub-Saharan Africa,,
6022,,,Subspecies,Cursorius temminckii temminckii,Temminck's Courser,,,,,,,,,,,,,,,,,,,,,,,,,,charadriiformes, Glareolidae,,,,,,Cursorius temminckii temminckii,Temminck's Courser,068-002-001-004-001,,,,,,,,,"Senegal to Ethiopia, Kenya and n Tanzania",,,"Senegal to South Sudan, Ethiopia and Kenya",,
6023,,,Subspecies,Cursorius temminckii ruvanensis,Temminck's Courser,,,,,,,,,,,,,,,,,,,,,,,,,,charadriiformes, Glareolidae,,,,,,Cursorius temminckii ruvanensis,Temminck's Courser,068-002-001-004-002,,,,,SSP,"Hockey et al., 2005",,,"s Tanzania to Angola, Mozambique and ne South Africa",,,"Tanzania to Angola, Mozambique and NE South Africa",,
6024,,,Subspecies,Cursorius temminckii aridus,Temminck's Courser,,,,,,,,,,,,,,,,,,,,,,,,,,charadriiformes, Glareolidae,,,,,,Cursorius temminckii aridus,Temminck's Courser,068-002-001-004-003,,,,,SSP,"Hockey et al., 2005",,,n Namibia to w Zimbabwe,,,"N Namibia, Botswana, W Zimbabwe [Clancey, 1989 #941]",,
6027,238,278,Species,Rhinoptilus africanus,Double-banded Courser,,Least Concern,,,,,,,,,,,,,,,,,,,,,,,,charadriiformes, Glareolidae,6078,dobcou2,Smutsornis africanus,Double-banded Courser,Shorebirds,Rhinoptilus africanus,Double-banded Courser,068-001-001-001,Smutsornis africanus,Double-banded Courser,Smutsornis africanus (del Hoyo and Collar 2014) was previously placed in the genus Rhinoptilus.,22694091,,,253,293,"AF : sw, e",,,,,Called Two-banded Courser in the 1996 list
6028,,,Subspecies,Rhinoptilus africanus raffertyi,Double-banded Courser,,,,,,,,,,,,,,,,,,,,,,,,,,charadriiformes, Glareolidae,6079,,Smutsornis africanus raffertyi,,Shorebirds,Rhinoptilus africanus raffertyi,Double-banded Courser,068-001-001-001-001,,,,,,,,,"Eritrea, e Ethiopia, Djibouti",,Eritrea to Ethiopia and Djibouti,"E Ethiopia, Eritrea, Djibouti",,
6029,,,Subspecies,Rhinoptilus africanus hartingi,Double-banded Courser,,,,,,,,,,,,,,,,,,,,,,,,,,charadriiformes, Glareolidae,6080,,Smutsornis africanus hartingi,,Shorebirds,Rhinoptilus africanus hartingi,Double-banded Courser,068-001-001-001-002,,,,,,,,,"se Ethiopia, Somalia",,SE Ethiopia (Ogaden Depression) and Somalia,"SE Ethiopia, Somalia",,
6030,,,Subspecies,Rhinoptilus africanus gracilis,Double-banded Courser,,,,,,,,,,,,,,,,,,,,,,,,,,charadriiformes, Glareolidae,6081,,Smutsornis africanus gracilis,,Shorebirds,Rhinoptilus africanus gracilis,Double-banded Courser,068-001-001-001-003,,,,,,,,,"Kenya, Tanzania",,Kenya and Tanzania,S Kenya to C Tanzania,,
6031,,,Subspecies,Rhinoptilus africanus bisignatus,Double-banded Courser,,,,,,,,,,,,,,,,,,,,,,,,,,charadriiformes, Glareolidae,6082,,Smutsornis africanus bisignatus,,Shorebirds,Rhinoptilus africanus bisignatus,Double-banded Courser,068-001-001-001-004,,,,,,,,,sw Angola,,SW Angola,Coastal SW Angola,,
6032,,,Subspecies,Rhinoptilus africanus erlangeri,Double-banded Courser,,,,,,,,,,,,,,,,,,,,,,,,,,charadriiformes, Glareolidae,,,,,,Rhinoptilus africanus erlangeri,Double-banded Courser,068-001-001-001-006,,,,,,,,,nw Namibia,,,"NW Namibia [Niethammer, 1966 #2772]",,
6033,,,Subspecies,Rhinoptilus africanus traylori,Double-banded Courser,,,,,,,,,,,,,,,,,,,,,,,,,,charadriiformes, Glareolidae,6083,,Smutsornis africanus traylori,,Shorebirds,Rhinoptilus africanus traylori,Double-banded Courser,068-001-001-001-007,,,,,,,,,ne Botswana,,Namibia (Etosha region) to Botswana (Makgadikgadi area),"NE Botswana, W Zimbabwe [Irwin, 1963 #2078]",,
6034,,,Subspecies,Rhinoptilus africanus africanus,Double-banded Courser,,,,,,,,,,,,,,,,,,,,,,,,,,charadriiformes, Glareolidae,6085,,Smutsornis africanus africanus,,Shorebirds,Rhinoptilus africanus africanus,Double-banded Courser,068-001-001-001-008,,,,,,,,,"e Namibia, c and se Botswana, n South Africa",,Central Kalahari and s Namibia to n Cape Province,"E and S Namibia, W and S Botswana, NW South Africa",,
6035,,,Subspecies,Rhinoptilus africanus granti,Double-banded Courser,,,,,,,,,,,,,,,,,,,,,,,,,,charadriiformes, Glareolidae,6086,,Smutsornis africanus granti,,Shorebirds,Rhinoptilus africanus granti,Double-banded Courser,068-001-001-001-009,,,,,,,,,w South Africa,,W Cape Province and Karoo of South Africa,"SW, S, C and E South Africa",,
6036,239,279,Species,Rhinoptilus cinctus,Three-banded Courser,,Least Concern,,,,,,,,,,,,,,,,,,,,,,,,charadriiformes, Glareolidae,6087,thbcou1,Rhinoptilus cinctus,Three-banded Courser,Shorebirds,Rhinoptilus cinctus,Heuglin's Courser,068-001-001-002,Rhinoptilus cinctus,Three-banded Courser,,22694099,,,254,294,"AF : e, se",,,,,
6037,,,Subspecies,Rhinoptilus cinctus mayaudi,Three-banded Courser,,,,,,,,,,,,,,,,,,,,,,,,,,charadriiformes, Glareolidae,,,,,,Rhinoptilus cinctus mayaudi,Heuglin's Courser,068-001-001-002-001,,,,,,,,,"Ethiopia, n Somalia",,,"Ethiopia and N Somalia […rard, 1993 #1530]",,
6038,,,Subspecies,Rhinoptilus cinctus balsaci,Three-banded Courser,,,,,,,,,,,,,,,,,,,,,,,,,,charadriiformes, Glareolidae,,,,,,Rhinoptilus cinctus balsaci,Heuglin's Courser,068-001-001-002-002,,,,,,,,,"s Somalia, ne Kenya",,,"S Somalia, NE Kenya […rard, 1993 #1530]",,
6039,,,Subspecies,Rhinoptilus cinctus cinctus,Three-banded Courser,,,,,,,,,,,,,,,,,,,,,,,,,,charadriiformes, Glareolidae,6088,,Rhinoptilus cinctus cinctus,,Shorebirds,Rhinoptilus cinctus cinctus,Heuglin's Courser,068-001-001-002-003,,,,,,,,,"se Sudan, nw Kenya",,"southeastern South Sudan, southern Ethiopia, Somalia, and northern Kenya","SE South Sudan, NW and E Kenya, NE Tanzania",,
6040,,,Subspecies,Rhinoptilus cinctus emini,Three-banded Courser,,,,,,,,,,,,,,,,,,,,,,,,,,charadriiformes, Glareolidae,6089,,Rhinoptilus cinctus emini,,Shorebirds,Rhinoptilus cinctus emini,Heuglin's Courser,068-001-001-002-004,,,,,,,,,"s Kenya, Tanzania, n Zambia",,S Kenya to Tanzania and n Zambia,"SW Kenya, N and C Tanzania to E Zambia",,
6041,,,Subspecies,Rhinoptilus cinctus seebohmi,Three-banded Courser,,,,,,,,,,,,,,,,,,,,,,,,,,charadriiformes, Glareolidae,6090,,Rhinoptilus cinctus seebohmi,,Shorebirds,Rhinoptilus cinctus seebohmi,Heuglin's Courser,068-001-001-002-005,,,,,,,,,s Angola and n Namibia to Zimbabwe and n South Africa,,S Angola and n Namibia to Zimbabwe and n South Africa,"S Angola and N Namibia to N and E Botswana, Zimbabwe and extreme NE South Africa",,
6042,240,280,Species,Rhinoptilus chalcopterus,Bronze-winged Courser,,Least Concern,TRUE,,,,,,,,,,,,,,,,,,,,,,,charadriiformes, Glareolidae,6091,brwcou1,Rhinoptilus chalcopterus,Bronze-winged Courser,Shorebirds,Rhinoptilus chalcopterus,Bronze-winged Courser,068-001-001-003,Rhinoptilus chalcopterus,Bronze-winged Courser,,22694095,,,255,295,AF : widespread south of the Sahara,,Open woodlands of Africa south of the Sahara,"Senegal to W Ethiopia, Uganda and S Kenya to S DR Congo, Angola, N Namibia, Botswana and N and E South Africa",,
6047,241,281,Species,Glareola pratincola,Collared Pratincole,,Least Concern,,TRUE,,,,,,,,,,,,,,,,,,,,,,charadriiformes, Glareolidae,6095,colpra,Glareola pratincola,Collared Pratincole,Shorebirds,Glareola pratincola,Collared Pratincole,068-003-002-001,Glareola pratincola,Collared Pratincole,,22694127,,,259,296,"AF, EU : widespread",AF,,,,
6048,,,Subspecies,Glareola pratincola pratincola,Collared Pratincole,,,,,,,,,,,,,,,,,,,,,,,,,,charadriiformes, Glareolidae,6096,,Glareola pratincola pratincola,,Shorebirds,Glareola pratincola pratincola,Collared Pratincole,068-003-002-001-001,,,,,,,,,s Europe and n Africa to Pakistan,n tropical Africa,S Europe to Pakistan; winters sub-Saharan Africa n of 5∞N,"S Europe, N Africa to Pakistan >> N tropical Africa",,
6049,,,Subspecies,Glareola pratincola fuelleborni,Collared Pratincole,,,,,,,,,,,,,,,,,,,,,,,,,,charadriiformes, Glareolidae,6098,,Glareola pratincola fuelleborni,,Shorebirds,Glareola pratincola fuelleborni,Collared Pratincole,068-003-002-001-003,,,,,SSP,"Includes erlangeri and riparia. Hockey et al., 2005.",,,"Subsaharan w, c, e Africa from Senegal to s Somalia south to e South Africa",,"Senegal to southern Kenya, Democratic Republic of the Congo, Namibia, and eastern South Africa","Sub-Saharan Africa south to N Botswana, S Mozambique and extreme E South Africa",,
6051,242,282,Species,Glareola nordmanni,Black-winged Pratincole,Rare/Accidental,Near Threatened,,,,,,,,,,,,TRUE,,,,,,,,,,,,charadriiformes, Glareolidae,6101,blwpra1,Glareola nordmanni,Black-winged Pratincole,Shorebirds,Glareola nordmanni,Black-winged Pratincole,068-003-002-003,Glareola nordmanni,Black-winged Pratincole,,22694136,,,260,297,EU : se Europe to c Asia,"w, s AF",Romania to sw Russia and n Kazakhstan; winters to S Africa,SE Europe and C Asia >> S and SW Africa,,PM; Near Threatened
6052,243,898,Species,Glareola ocularis,Madagascan Pratincole,,Vulnerable,,,,,,,TRUE,,,,,,,,,,,,,,,,,charadriiformes, Glareolidae,6103,madpra1,Glareola ocularis,Madagascar Pratincole,Shorebirds,Glareola ocularis,Madagascar Pratincole,068-003-002-004,Glareola ocularis,Madagascar Pratincole,,22694140,,,261,298,AF : Madagascar,e AF,Madagascar; winters coastal Somalia to n Mozambique,Madagascar (except extreme S) >> E Africa,,
6053,244,283,Species,Glareola nuchalis,Rock Pratincole,,Least Concern,,,,,,,,,,,,,,,,,,,,,,,,charadriiformes, Glareolidae,6104,rocpra1,Glareola nuchalis,Rock Pratincole,Shorebirds,Glareola nuchalis,Rock Pratincole,068-003-002-005,Glareola nuchalis,Rock Pratincole,,22694144,,,262,299,"AF : sc, wc, w",,,,,
6054,,,Subspecies,Glareola nuchalis liberiae,Rock Pratincole,,,,,,,,,,,,,,,,,,,,,,,,,,charadriiformes, Glareolidae,6105,rocpra2,Glareola nuchalis liberiae,Rock Pratincole (Rufous-naped),Shorebirds,Glareola nuchalis liberiae,Rock Pratincole,068-003-002-005-001,,,,,,,,,Sierra Leone to w Cameroon,,Sierra Leone to w Cameroon,Sierra Leone to W Cameroon,,
6055,,,Subspecies,Glareola nuchalis nuchalis,Rock Pratincole,,,,,,,,,,,,,,,,,,,,,,,,,,charadriiformes, Glareolidae,6106,rocpra3,Glareola nuchalis nuchalis,Rock Pratincole (White-naped),Shorebirds,Glareola nuchalis nuchalis,Rock Pratincole,068-003-002-005-002,,,,,SSP,"Includes torrens. Hockey et al., 2005.",,,Chad to Ethiopia south to s Angola and ne Namibia to w Zambia and Mozambique,,"Chad to Ethiopia and s to Zambia, Namibia and Mozambique","Lake Chad, E Sudan to W Ethiopia, C and E Cameroon to Uganda and south to Angola and R. Zambezi",,
6061,248,303,Species,Anous stolidus,Brown Noddy,,Least Concern,,,,,,,,,,,,,,,,,,,,,,,,charadriiformes, Laridae,6342,brnnod,Anous stolidus,Brown Noddy,"Gulls, Terns, and Skimmers",Anous stolidus,Brown Noddy,071-001-001-001,Anous stolidus,Brown Noddy,,22694794,,,346,323,TrO : widespread,,,"Atlantic, Red Sea, Indian and Pacific oceans",,
6062,,,Subspecies,Anous stolidus pileatus,Brown Noddy,,,,,,,,,,,,,,,,,,,,,,,,,,charadriiformes, Laridae,6344,,Anous stolidus pileatus,,"Gulls, Terns, and Skimmers",Anous stolidus pileatus,Brown Noddy,071-001-001-001-001,,,,,,,,,"Red Sea, Indian Ocean east through the Pacific to Hawaiian Is. and Easter I.",,"Seychelles and Madagascar to Australia, Polynesia and Hawaii","Red Sea, Indian Ocean, SE Asian seas, N and W Australia, tropical Pacific Ocean (east to Iles Marquises, Easter I., and Islas de los Desventurados)",,
6063,,,Subspecies,Anous stolidus galapagensis,Brown Noddy,,,,,,,,,,,,,,,,,,,,,,,,,,charadriiformes, Laridae,6345,,Anous stolidus galapagensis,,"Gulls, Terns, and Skimmers",Anous stolidus galapagensis,Brown Noddy,071-001-001-001-002,,,,,,,,,Gal·pagos Is.,,Galapagos Islands,Galapagos Is.,,
6064,,,Subspecies,Anous stolidus ridgwayi,Brown Noddy,,,,,,,,,,,,,,,,,,,,,,,,,,charadriiformes, Laridae,6346,,Anous stolidus ridgwayi,,"Gulls, Terns, and Skimmers",Anous stolidus ridgwayi,Brown Noddy,071-001-001-001-003,,,,,,,,,islands off w Mexico to w Costa Rica,,W Mexico (Revillagigedo Islands) to Costa Rica (Cocos I.),Islands off W Mexico and W Central America,,
6065,,,Subspecies,Anous stolidus stolidus,Brown Noddy,,,,,,,,,,,,,,,,,,,,,,,,,,charadriiformes, Laridae,6347,,Anous stolidus stolidus,,"Gulls, Terns, and Skimmers",Anous stolidus stolidus,Brown Noddy,071-001-001-001-004,,,,,,,,,islands of the Caribbean and tropical Atlantic,,Caribbean and s Atlantic islands; Gulf of Guinea to Cameroon,Caribbean Sea and tropical Atlantic Ocean to Tristan da Cunha Group,,
6066,249,939,Species,Anous tenuirostris,Lesser Noddy,Rare/Accidental,Least Concern,,,,,,TRUE,,,,,,,,,,,,,,,,,,charadriiformes, Laridae,6358,lesnod1,Anous tenuirostris,Lesser Noddy,"Gulls, Terns, and Skimmers",Anous tenuirostris,Lesser Noddy,071-001-001-002,Anous tenuirostris,Lesser Noddy,,22694805,ENG,Change† English name of Anous tenuirostris from suggested Sooty Noddy back to established Lesser Noddy,347,324,"IO : w, nw",,,,,
6067,,,Subspecies,Anous tenuirostris tenuirostris,Lesser Noddy,,,,,,,,,,,,,,,,,,,,,,,,,,charadriiformes, Laridae,6359,,Anous tenuirostris tenuirostris,,"Gulls, Terns, and Skimmers",Anous tenuirostris tenuirostris,Lesser Noddy,071-001-001-002-001,,,,,,,,,islands of the w Indian Ocean,,"Seychelles, Mascarene and Maldive islands","Seychelles, Madagascar, Mauritius, RÈunion, Maldives, Chagos Arch.",,
6068,,,Subspecies,Anous tenuirostris melanops,Lesser Noddy,,,,,,,,,,,,,,,,,,,,,,,,,,charadriiformes, Laridae,6360,,Anous tenuirostris melanops,,"Gulls, Terns, and Skimmers",Anous tenuirostris melanops,Lesser Noddy,071-001-001-002-002,,,,,,,,,Houtman Abrolhos Is.  (w Australia),,Houtman Abrolhos Islands (w Australia); formerly Indonesia,Houtman Abrolhos Is. and Ashmore Reef (W Australia),,
6098,250,306,Species,Rynchops flavirostris,African Skimmer,,Near Threatened,,,,,,,,,,,,,,,,,,,,,,,,charadriiformes, Laridae,6515,afrski1,Rynchops flavirostris,African Skimmer,"Gulls, Terns, and Skimmers",Rynchops flavirostris,African Skimmer,071-003-001-002,Rynchops flavirostris,African Skimmer,,22694262,,,348,325,AF : widespread,,"Major rivers, lakes and coasts of Africa south of the Sahara","Senegal to Sudan and SW Ethiopia, south to N Namibia, N Botswana, S Mozambique and NE South Africa",,
6112,253,1078,Species,Chroicocephalus genei,Slender-billed Gull,,Least Concern,,,,,,,,,,,,TRUE,,,,,,,,,,,,charadriiformes, Laridae,6209,slbgul1,Chroicocephalus genei,Slender-billed Gull,"Gulls, Terns, and Skimmers",Chroicocephalus genei,Slender-billed Gull,071-004-005-001,Larus genei,Slender-billed Gull,,22694428,,,328,307,"EU, AF : Iberian Pen. Through the Middle East to Pakistan and India; Mauritania, Senegal and Gambia",,Mediterranean basin to nw India; winters to ne Africa,"Senegal, Gambia and Mauritania, SW to C Asia, Pakistan >> coastal Africa, SW Asia, India",,
6122,252,933,Species,Chroicocephalus ridibundus,Black-headed Gull,,Least Concern,,,,,,,,,,,,TRUE,,,,,,,,,,,,charadriiformes, Laridae,6226,bkhgul,Chroicocephalus ridibundus,Black-headed Gull,"Gulls, Terns, and Skimmers",Chroicocephalus ridibundus,Black-headed Gull,071-004-005-008,Larus ridibundus,Black-headed Gull,,22694420,ENG,Change† English name of Chroicocephalus (Larus) ridibundus reverts to Black-headed Gull with adoption of† Pallas's Gull for Larus ichthyaetus,327,306,EU : widespread,"AF, OR","N Palearctic; winters to Africa, s Asia and e North America","NE North America, S Greenland, Iceland, Europe to E Siberia, NE China >> Africa, SW, S, E and mainland SE Asia, N Borneo, Philippines, N Wallacea",,
6123,251,288,Species,Chroicocephalus cirrocephalus,Grey-headed Gull,,Least Concern,,,,,,,,,,,,,,,,,,,,,,,,charadriiformes, Laridae,6221,grhgul,Chroicocephalus cirrocephalus,Gray-hooded Gull,"Gulls, Terns, and Skimmers",Chroicocephalus cirrocephalus,Gray-hooded Gull,071-004-005-009,Larus cirrocephalus,Grey-headed Gull,,22694387,ENG,"Change† English name of Chroicocephalus cirrocephalus to Grey-headed Gull, which prevails in Africa and elsewhere",326,305,"SA, AF : widespread",,,C South America; C and S Africa,,This and the next two species included in Larus in the 1996 list
6124,,,Subspecies,Chroicocephalus cirrocephalus cirrocephalus,Grey-headed Gull,,,,,,,,,,,,,,,,,,,,,,,,,,charadriiformes, Laridae,6222,,Chroicocephalus cirrocephalus cirrocephalus,,"Gulls, Terns, and Skimmers",Chroicocephalus cirrocephalus cirrocephalus,Gray-hooded Gull,071-004-005-009-001,,,,,,,,,"coastal Ecuador and Peru, coastal c Brazil to Argentina",,Ecuador and Peru; coastal central Brazil to Argentina,Coastal S Ecuador and Peru; Uruguay and E Argentina  >> north to coastal E Brazil,,
6125,,,Subspecies,Chroicocephalus cirrocephalus poiocephalus,Grey-headed Gull,,,,,,,,,,,,,,,,,,,,,,,,,,charadriiformes, Laridae,6223,,Chroicocephalus cirrocephalus poiocephalus,,"Gulls, Terns, and Skimmers",Chroicocephalus cirrocephalus poiocephalus,Gray-hooded Gull,071-004-005-009-002,,,,,,,,,coastal Africa south of the Sahara and Madagascar,,Coasts and rivers of sub-Saharan Africa and Madagascar,"W, C, E and S Africa, Madagascar",,
6143,,2066,Species,Ichthyaetus melanocephalus,Mediterranean Gull,Rare/Accidental,Least Concern,,,,,,,,,,,,,,,,,,,,,,,,charadriiformes, Laridae,6242,medgul1,Ichthyaetus melanocephalus,Mediterranean Gull,"Gulls, Terns, and Skimmers",Ichthyaetus melanocephalus,Mediterranean Gull,071-004-010-001,Larus melanocephalus,Mediterranean Gull,,22694443,,,,,EU : widespread in Europe,Mediterranean coasts,North Sea to Mediterranean and Black Sea; winters to n Africa,"Europe to Black Sea and Caucasus >> W Europe, NW Africa, Mediterranean",,
6144,256,2062,Species,Ichthyaetus ichthyaetus,Pallas's Gull,,Least Concern,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,charadriiformes, Laridae,6248,gbhgul2,Ichthyaetus ichthyaetus,Pallas's Gull,"Gulls, Terns, and Skimmers",Ichthyaetus ichthyaetus,Pallas's Gull,071-004-010-006,Larus ichthyaetus,Pallas's Gull,,22694379,ENG,Change† English name of Larus ichthyaetus from Great Black-headed Gull to Pallas's Gull,329,304,EU : sw Russia to Mongolia and n China,"Middle East, India",S-central Asia; winters Mediterranean to SE Asia,SW Russia to NW Mongolia and N China >> E Mediterranean and NE Africa to S Asia and Myanmar ,,
6145,255,900,Species,Ichthyaetus leucophthalmus,White-eyed Gull,Rare/Accidental,Least Concern,,,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,charadriiformes, Laridae,6246,whegul2,Ichthyaetus leucophthalmus,White-eyed Gull,"Gulls, Terns, and Skimmers",Ichthyaetus leucophthalmus,White-eyed Gull,071-004-010-004,Larus leucophthalmus,White-eyed Gull,,22694299,,,,,AF : Red Sea,,Red Sea and Gulf of Aqaba to Gulf of Aden,"Red Sea, Gulf of Aden",,
6146,254,2058,Species,Ichthyaetus hemprichii,Sooty Gull,,Least Concern,,TRUE,,,,,,,,,,,,,,,,,,,,,,charadriiformes, Laridae,6247,soogul2,Ichthyaetus hemprichii,Sooty Gull,"Gulls, Terns, and Skimmers",Ichthyaetus hemprichii,Sooty Gull,071-004-010-005,Larus hemprichii,Sooty Gull,,22694303,,,322,300,"AF, EU : east AF and Middle East coasts",,Red Sea and Persian Gulf area to s Pakistan and n Kenya,"N Kenya to Red Sea, Gulf of Aden, Persian Gulf, S Pakistan >> south to Tanzania",,
