ID,Sequence,SAFRING_No,avibase_id,ADU_No,Odr,Family,Genus,Species,Common_family,Common_group,Common_species,Split status,UO comment,BL comment,,
891,59,100,avibase-A534AFEA,99,Anseriformes,Dendrocygnidae,Dendrocygna,viduata,"Ducks, Geese and Swans",Duck,White-faced Whistling,,,,,
890,58,101,avibase-9A60617E,100,Anseriformes,Dendrocygnidae,Dendrocygna,bicolor,"Ducks, Geese and Swans",Duck,Fulvous Whistling,,,,,
1642,107,102,avibase-36C0242E,113,Anseriformes,Anatidae,Netta,erythrophthalma,"Ducks, Geese and Swans",Pochard,Southern,,,,,
1738,112,103,avibase-1C2F4E80,117,Anseriformes,Anatidae,Oxyura,maccoa,"Ducks, Geese and Swans",Duck,Maccoa,,,,,
2391,60,104,avibase-2EEDACD5,101,Anseriformes,Dendrocygnidae,Thalassornis,leuconotus,"Ducks, Geese and Swans",Duck,White-backed,,,,,
2173,914,105,avibase-DCBCCEB8,118,Falconiformes,Sagittariidae,Sagittarius,serpentarius,Secretarybird,,Secretarybird,,,,,
1167,881,106,avibase-F85BEEB4,122,Falconiformes,Accipitridae,Gyps,coprotheres,"Kites, Hawks and Eagles",Vulture,Cape,,,,,
1166,880,107,avibase-0419DDC2,123,Falconiformes,Accipitridae,Gyps,africanus,"Kites, Hawks and Eagles",Vulture,White-backed,,,,,
2412,911,108,avibase-672EA454,124,Falconiformes,Accipitridae,Torgos,tracheliotos,,Vulture,Lappet-faced,,,,,
2429,912,109,avibase-93D7EC56,125,Falconiformes,Accipitridae,Trigonoceps,occipitalis,"Kites, Hawks and Eagles",Vulture,White-headed,,,,,
1608,900,110,avibase-131038AD,121,Falconiformes,Accipitridae,Necrosyrtes,monachus,"Kites, Hawks and Eagles",Vulture,Hooded,,,,,
1625,901,111,avibase-6D3480A6,120,Falconiformes,Accipitridae,Neophron,percnopterus,"Kites, Hawks and Eagles",Vulture,Egyptian,,,,,
1165,879,112,avibase-14885C18,147,Falconiformes,Accipitridae,Gypohierax,angolensis,"Kites, Hawks and Eagles",Vulture,Palm-nut,,,,,
1067,934,113,avibase-47E58408,171,Falconiformes,Falconidae,Falco,peregrinus,"Caracaras, Falcons",Falcon,Peregrine,,,,,
1055,921,114,avibase-3D3808E3,172,Falconiformes,Falconidae,Falco,biarmicus,"Caracaras, Falcons",Falcon,Lanner,,,,,
